Epoch,Average Train Loss,Average Validation Loss
100,2405.2184443470965,2533.907494029999
200,1020.1742583232142,1219.3276287078857
300,779.7545877342793,927.6316535282135
400,150.4211343905463,197.6544478559494
500,109.81805293723718,143.9868321967125
600,92.52940707256546,123.7046312880516
700,79.86371360970968,108.2666532099247
800,72.2239472352213,95.31168067812919
900,68.90123229567685,92.44864984095096
1000,65.64333766133036,86.52828793525696
1100,63.59046011241515,86.7366003960371
1200,62.71250761907491,83.22572150945663
1300,61.78630643083089,80.00776043593883
1400,59.562956150254216,72.71415601074696
1500,59.53042953234999,79.27788259923459
1600,58.05761388031405,75.82455365896224
1700,57.06088195366646,75.85560467600823
1800,57.23547340990893,73.99818342030048
1900,56.82556632294583,73.89175177216529
2000,55.26205393371298,67.45574496805668
2100,54.36675504567019,69.41640939593316
2200,54.04822684579821,66.8202230644226
2300,53.38246689191506,68.10589942932128
2400,52.08539883179452,69.74298281252385
2500,51.84742288895507,63.19857057094574
2600,51.30461286736958,65.54754625678062
2700,50.61441206124293,69.43059884428978
2800,50.29385991968326,65.72066822886467
2900,49.89276055513924,65.4687351256609
3000,49.75076725244522,62.699597180485725
3100,49.271255759018565,61.19691537439823
3200,49.00269879864222,63.03211869955063
3300,48.62635949423063,61.11776353955269
3400,47.687320497320655,59.954185051321986
3500,47.37673380517247,59.46722891271114
