Epoch,Average Train Loss,Average Validation Loss
100,2506.122527397497,2645.8256963157655
200,1057.0881118819962,1267.7341149330139
300,701.8689775092566,842.3907485818863
400,157.99024360941416,217.0155736207962
500,107.13890159542882,149.9528797984123
600,94.28033815903447,131.22776055455208
700,84.9491805497924,111.72207106351853
800,78.28489024582194,103.70011424720288
900,74.4083850347462,101.20478271007538
1000,70.9454960934084,98.39343922436237
1100,67.4879285633742,90.19871403157711
1200,65.77378613721078,90.96737101614475
1300,65.40951567066249,89.80314267575741
1400,64.35874475030758,86.60503880441189
1500,63.67506922148946,86.93605396151543
1600,63.0003202202071,85.99928411364556
1700,62.05656348538042,81.69243044734002
1800,60.9543528304883,80.13902512252331
1900,59.42070764306765,76.36837269902229
2000,59.52103008120808,76.49235574185849
2100,58.93090399450332,75.30067653298379
2200,58.27183285599323,75.04453086614609
2300,57.44404223064879,74.03863846600056
2400,57.226103894959635,74.53831562280655
2500,56.095575557039744,73.6308943271637
2600,56.600779588115756,70.62771244585514
2700,56.064936892452536,74.9473749524355
2800,54.85543604046552,68.79956561893225
2900,54.78986745243642,69.75837500095368
3000,54.51706778405319,70.5905211365223
